date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:19	2532/2532	U-----	200	untouched ('OK')	application/x-javascript	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/js/jquery.easing.min.js	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/js/jquery.easing.min.js	(from http://zoyothemes.com/blogezy/)
12:28:19	5807/5807	U-----	200	untouched ('OK')	application/x-javascript	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/js/metisMenu.min.js	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/js/metisMenu.min.js	(from http://zoyothemes.com/blogezy/)
12:28:19	622/622	U-----	200	untouched ('OK')	application/x-javascript	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/js/jquery.app.js	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/js/jquery.app.js	(from http://zoyothemes.com/blogezy/)
12:28:19	274684/274684	U-----	200	untouched ('')	application/octet-stream	etag:%225a002bae-430fc%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.eot?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.eot	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
12:28:20	274684/274684	U-----	200	untouched ('')	application/octet-stream	etag:%225a002bae-430fc%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.eot?	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontd41d.eot	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
12:28:20	135276/135276	U-----	200	untouched ('')	application/octet-stream	etag:%225a002bae-2106c%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.woff?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.woff	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
12:28:20	103708/103708	U-----	200	untouched ('')	application/octet-stream	etag:%225a002bae-1951c%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.woff2?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.woff2	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
12:28:20	274464/274464	U-----	200	untouched ('')	application/octet-stream	etag:%225a002bae-43020%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.ttf?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.ttf	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
12:28:21	2079231/2079231	U-----	200	untouched ('OK')	image/svg+xml	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.svg?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.svg	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
12:28:21	17885/17885	U-----	200	untouched ('')	image/png	etag:%225a002bae-45dd%22	http://zoyothemes.com/blogezy/images/user/user-5.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-5.png	(from http://zoyothemes.com/blogezy/standard-post.html)
12:28:21	18419/18419	U-----	200	untouched ('')	image/png	etag:%225a002bae-47f3%22	http://zoyothemes.com/blogezy/images/user/user-2.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-2.png	(from http://zoyothemes.com/blogezy/standard-post.html)
12:28:22	18529/18529	U-----	200	untouched ('')	image/png	etag:%225a002bae-4861%22	http://zoyothemes.com/blogezy/images/user/user-4.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-4.png	(from http://zoyothemes.com/blogezy/standard-post.html)
12:28:22	16010/16010	U-----	200	untouched ('')	image/png	etag:%225a002bae-3e8a%22	http://zoyothemes.com/blogezy/images/user/user-3.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-3.png	(from http://zoyothemes.com/blogezy/standard-post.html)
12:28:22	16328/16328	U-----	200	untouched ('')	image/png	etag:%225a002bae-3fc8%22	http://zoyothemes.com/blogezy/images/user/user-6.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-6.png	(from http://zoyothemes.com/blogezy/standard-post.html)
12:28:22	12231/12231	U-----	200	untouched ('OK')	text/css	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/css/owl-carousel.css	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/css/owl-carousel.css	(from http://zoyothemes.com/blogezy/gallery-post.html)
12:28:23	40401/40401	U-----	200	untouched ('OK')	application/x-javascript	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/js/owl.carousel.min.js	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/js/owl.carousel.min.js	(from http://zoyothemes.com/blogezy/gallery-post.html)
12:28:28	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202019%2009:15:35%20GMT	http://zoyothemes.com/blogezy/css/owl.video.play.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/css/owl.video.play.html	(from http://zoyothemes.com/blogezy/css/owl-carousel.css)
